8404	4.546
4128	3.387
5187	3.065
9181	-1.064
1843	2.975
1912	1.46
25939	3.839
2040	1.437
115207	-2.484
85027	1.305
2289	3.959
7704	6.415
91624	2.006
4837	2.223
4502	2.206
4501	3.24
9643	1.047
6536	-2.375
727936	-1.871
26112	2.855
338382	-1.794
51313	1.012
2752	3.038
134265	1.832
152110	-2.516
100652988	4.399
165215	-1.332
57104	1.147
7412	-3.569
7079	2.913
26872	1.559
54206	2.461
28999	4.596
783	3.197
12	3.326
5912	-1.246
8660	2.164
687	2.139
11234	1.629
83716	2.687
2878	3.782
85480	-2.761
4239	-0.946
115572	2.338
1277	-1.262
22822	-1.063
10423	0.85
79960	1.212
1759	-1.91
18	1.091
309	0.963
3613	2.274
6533	-1.978
323	1.022
4493	2.17
1831	3.366
6659	-2.341
8325	2.491
261729	2.035
25994	1.271
1052	1.517
307	1.14
90993	-0.967
2180	1.602
9057	1.472
1382	-1.702
54629	1.06
114801	-1.184
121512	2.168
11080	1.375
162333	3.765
56967	-1.095
338773	-1.191
247	9.61
8837	1.178
101928819	5.926
9510	2.205
9096	-1.688
51181	1.999
25840	2.288
7048	1.478
203260	1.079
9586	-2.154
50651	1.374
79921	1.506
84940	2.433
6272	2.242
9581	-0.787
54764	0.979
8907	1.117
388610	1.998
7263	1.354
4616	1.477
2308	2.314
84909	1.271
84981	0.946
11030	0.825
100129940	2.462
80263	-2.001
26045	-4.57
55603	-1.171
10092	0.901
6854	3.822
147	3.805
54793	0.768
154796	-2.581
10186	0.715
23052	1.983
140766	-2.399
10810	1.098
10611	1.549
7277	-1.664
7296	1.491
2309	1.282
167681	-2.686
6840	-0.669
6303	1.331
100507632	1.939
4856	-2.596
26012	1.031
8848	1.183
9414	2.026
127933	0.678
896	1.122
91663	1.458
4052	0.729
7094	0.616
55829	0.689
4240	1.189
2356	0.748
23475	-1.115
23034	1.236
5562	0.768
7225	1.922
8884	1.206
56548	1.563
23032	0.878
79834	1.064
55852	1.515
9424	2.717
23051	1.122
54855	-2.484
1628	-1.576
54776	0.686
7158	-0.689
23531	1.672
140711	3.955
8038	-1.864
5810	0.794
102724958	-5.295
8153	-2.157
4356	1.633
2131	-0.802
8819	1.24
84883	0.699
4082	-1.162
153642	0.809
9475	0.79
5728	-0.597
25852	1.103
1294	1.296
57085	1.147
23179	-1.059
3625	3.677
6603	1.285
29995	1.606
3908	2.08
9338	1.016
11113	-1.703
10184	-1.205
130589	-1.097
56910	1.246
117581	0.737
1193	-1.225
440	-1.126
7057	1.906
23767	-2.442
79689	4.898
1316	1.044
58472	1.033
55862	0.812
5396	-0.739
9497	-1.077
9079	-1.288
55313	0.977
388	1.216
2745	1.065
8863	-2.2
57542	1.03
9200	1.06
123879	0.705
4086	-1.01
25777	1.745
23764	1.281
5806	2.245
8202	1.389
1503	1.624
10135	0.989
138639	0.969
9209	0.716
5833	1.041
55573	0.738
6009	1.002
488	1.374
201725	-1.334
54796	-1.02
54510	-0.904
219623	-1.951
221749	1.422
129303	0.93
6387	-1.868
7453	-1.461
7791	0.728
85464	1.183
654463	-3.12
79605	-2.623
6470	1.177
57452	-1.099
360	-2.977
7508	-0.586
54739	-0.968
94274	2.728
125488	0.804
201965	1.133
7360	1.038
57523	-1.164
3603	1.079
171024	1.723
2730	1.265
285203	1.262
5834	0.65
85407	2.665
101927057	-1.68
8013	2.12
219790	-1.813
6722	0.964
5980	1.01
23500	1.661
94101	1.043
92999	0.737
1326	1.043
113251	0.812
85012	1.071
79670	1.204
672	-1.18
388815	-1.434
57222	0.774
9518	-1.94
10093	0.508
401541	-1.711
10235	1.771
80723	0.836
8824	-0.562
9252	-2.055
1282	1.428
57506	0.636
55604	1.198
624	-1.97
23452	-0.878
102724788	7.273
51170	0.731
23585	0.71
4245	0.862
2744	1.151
160760	1.214
11221	-1.318
10699	2.075
273	1.148
11037	1.367
5625	4.06
57804	0.904
3983	1.452
5295	1.509
5894	0.832
10157	1.141
116138	0.642
65108	-1.107
79858	-1.185
63027	-1.348
302	0.681
125	1.101
84532	1.879
25925	-0.918
3912	0.824
64283	1.116
3148	1.261
55809	-0.781
1997	0.843
4811	1.582
59345	0.949
6461	-0.914
604	0.816
5010	-1.678
7855	2.499
116835	-2.281
4609	0.826
10370	1.581
10010	0.571
493869	-0.478
9953	0.987
9943	0.478
57291	1.133
79924	-2.563
8313	1.255
8111	-3.182
64855	0.685
11067	1.636
5321	-2.468
253827	0.771
200734	0.619
57337	-0.773
7171	0.726
54935	1.309
27065	-4.099
2644	1.794
23169	0.89
54407	1.1
2643	1.651
84955	0.702
387700	4.037
2668	1.955
9771	3.463
286410	0.569
224	-0.993
6867	0.87
26035	0.95
1809	-0.576
54918	0.643
5500	0.943
23002	-1.13
9509	0.709
1649	-1.023
55266	0.791
1959	-3.152
5050	-1.123
4783	1.176
4739	1.645
57538	3.094
51768	0.988
623	-1.894
10241	1.062
387496	2.249
9820	-0.464
64834	0.506
9265	1.225
440465	-0.558
7846	-1.269
4329	1.114
84440	-1.874
6472	-0.64
5881	1.352
1281	-0.837
152503	0.714
66008	0.959
51421	0.902
90522	1.118
284695	-0.514
79800	-0.849
4499	2.573
3976	-2.495
503569	-1.448
23468	-0.672
9706	1.278
11217	1.13
9891	1.395
290	1.135
7314	-0.41
2012	0.921
4071	1.197
131544	-0.726
84885	0.911
114897	1.287
154807	0.662
91252	0.675
65220	0.855
4016	-0.539
10272	1.754
51114	0.776
117248	1.562
