ID	geneID
HALLMARK_UV_RESPONSE_DN	TGFBR2
HALLMARK_UV_RESPONSE_DN	PDLIM5
HALLMARK_UV_RESPONSE_DN	AMPH
HALLMARK_UV_RESPONSE_DN	CITED2
HALLMARK_UV_RESPONSE_DN	CYR61
HALLMARK_UV_RESPONSE_DN	COL11A1
HALLMARK_UV_RESPONSE_DN	DDAH1
HALLMARK_UV_RESPONSE_DN	PPARG
HALLMARK_UV_RESPONSE_DN	DUSP1
HALLMARK_UV_RESPONSE_DN	APBB2
HALLMARK_UV_RESPONSE_DN	MT1E
